city_state,city,state,climate_region,lat,lon,num_accounts,mgd_sold,bill_type,water_price,req,reb,aridity,rpp
"Oklahoma City, OK",Oklahoma City,OK,South,35.4675602,-97.5164276,186415,81.25,U,27.65,6,1,17.75,92.4
"Orlando, FL",Orlando,FL,Southeast,28.5383355,-81.3792365,119485,59.25,IB,19.02,13,7,20.61,97.8
"Pensacola, FL",Pensacola,FL,Southeast,30.421309,-87.2169149,94656,28.78,U,24.67,0,0,32.67,93.5
"Philadelphia, PA",Philadelphia,PA,Northeast,39.9525839,-75.1652215,476303,172.4,DB,37.11,2,1,24.38,107.2
"Phoenix, AZ",Phoenix,AZ,Southwest,33.4483771,-112.0740373,402928,256.93,IB,23.81,6,1,3.71,97.7
"Pittsburgh, PA",Pittsburgh,PA,Northeast,40.4406248,-79.9958864,5423,1.52,DB,68.54,4,0,21.52,94.8
"Portland, OR",Portland,OR,Northwest,45.5230622,-122.6764816,183322,96.44,U,36.66,0,5,25.35,101.3
"Providence, RI",Providence,RI,Northeast,41.8239891,-71.4128343,71816,54.84,U,37.01,4,4,26.81,99
"Provo, UT",Provo,UT,Southwest,40.2338438,-111.6585337,18629,20.42,U,11.6,4,4,6.09,97.3
"Raleigh, NC",Raleigh,NC,Southeast,35.7795897,-78.6381787,164573,42.01,U,33.97,12,4,22.96,95.9
"Reno, NV",Reno,NV,West,39.5296329,-119.8138027,89353,49.73,IB,35.16,9,4,5.07,99.1
"Richmond, VA",Richmond,VA,Southeast,37.5407246,-77.4360481,61711,52.77,DB,36.91,0,0,23.46,96.2
"Riverside, CA",Riverside,CA,West,33.9533487,-117.3961564,64064,60.91,IB,25.88,15,13,5.46,105.9
"Rockford, IL",Rockford,IL,Central,42.2711311,-89.0939952,53030,15.59,DB,31.37,4,0,21.54,91.3
"Sacramento, CA",Sacramento,CA,West,38.5815719,-121.4943996,133073,122.73,U,23.75,11,8,11.12,102.5
"Salt Lake City, UT",Salt Lake City,UT,Southwest,40.7607793,-111.8910474,90976,67.13,IB,18,18,2,15.22,99.7
"San Antonio, TX",San Antonio,TX,South,29.4241219,-98.4936282,350859,151.49,IB,34.72,19,8,13.88,94.4
"San Diego, CA",San Diego,CA,West,32.715738,-117.1610838,270872,163.16,IB,48.93,19,15,8.79,115.9
"Santa Cruz, CA",Santa Cruz,CA,West,36.9741171,-122.0307963,24228,9.07,IB,71.1,20,11,8,121.8
"Seattle, WA",Seattle,WA,Northwest,47.6062095,-122.3320708,188124,129.5,U,54.56,2,9,23.35,107.8
"Sioux Falls, SD",Sioux Falls,SD,West North Central,43.5445959,-96.7311034,47823,18.49,IB,34.17,16,4,16.35,92.8
"Springfield, MA",Springfield,MA,Northeast,42.1014831,-72.589811,42710,30.17,U,26.74,5,0,29.06,96.8
"St Louis, MO",St Louis,MO,Central,38.6270025,-90.1994042,93703,126.64,U,26.06,2,0,22.01,90.5
"Toledo, OH",Toledo,OH,Central,41.6639383,-83.555212,133361,52.95,DB,16.83,4,0,20.69,89.6
"Tucson, AZ",Tucson,AZ,Southwest,32.2217429,-110.926479,229310,105.73,IB,38.18,7,4,6.49,97.1
"Tulsa, OK",Tulsa,OK,South,36.1539816,-95.992775,142834,103.2,U,24.58,4,0,21.57,91.3
"Virginia Beach, VA",Virginia Beach,VA,Southeast,36.8529263,-75.977985,131367,30.96,U,40.9,6,2,24.69,98.4
"Washington, DC",Washington,DC,Southeast,38.9071923,-77.0368707,120902,80.39,U,32.13,8,1,23.01,119.4
"Wichita, KS",Wichita,KS,South,37.6871761,-97.330053,146941,47.44,IB,37.16,2,8,17.87,91
"Winston, NC",Winston,NC,Southeast,36.0998596,-80.244216,121095,32.76,IB,26.68,0,3,24.1,90
"Yakima, WA",Yakima,WA,Northwest,46.6020711,-120.5058987,18706,9.09,U,28.65,4,0,7.53,95
